id_cliente,nome_cliente,% 4xx,Último Acionamento,Score,Penúltimo Mês,Mês Anterior,Mês Corrente
18,LINHA_NITIDO,"0,01%",2026-04-07 00:00:00,0.0,21462.0,23167,1194
26,BASE_LARGO,"0,06%",2026-04-08 00:00:00,57.93245753449014,73805.0,31072,21106
27,PICO_FLUIDO,"0,00%",2026-04-08 00:00:00,53.11016938773837,302341.0,180268,126546
29,LINK_DOURADO,"0,07%",2026-04-07 00:00:00,0.0,37494.0,32132,32389
32,DELTA_FINO,"0,12%",2026-04-06 00:00:00,56.035178095114,2514.0,1930,28
34,EDGE_NOVO,"0,07%",2026-04-08 00:00:00,0.0,2705.0,3078,4454
35,LINK_PASSIVO,"0,00%",2026-04-08 00:00:00,0.0,332.0,6251,3067
37,VECTOR_DINAMICO,"0,00%",2026-04-08 00:00:00,0.0,8009.0,8372,7775
39,TOPO_MOVEL,"0,10%",2026-03-31 00:00:00,100.0,43287.0,10783,0
47,ROCHA_LUNAR,"0,07%",2026-04-08 00:00:00,21.328548497787,1321.0,1315,780
48,LINK_NEUTRO,"1,27%",2026-04-08 00:00:00,0.0,841.0,1164,872
56,NODEX_VERDE,"0,07%",2026-04-08 00:00:00,83.35304022918282,101175.0,55106,79
59,FLUXO_SERENO,"0,07%",2026-04-08 00:00:00,25.30264397193916,69826.0,63601,47942
69,ORIGEM_PURO,"0,19%",2026-04-08 00:00:00,24.91783595208925,7349.0,6056,4507
73,PLANO_NITIDO,"0,06%",2026-04-08 00:00:00,18.42372775721449,7938.0,7935,5688
76,LUZ_UNICO,"99,71%",2026-04-08 00:00:00,0.0,16502.0,16699,16919
91,NIMBUS_INFERIOR,"0,00%",2026-03-31 00:00:00,100.0,244.0,10110,0
95,ZONE_ABERTO,"0,00%",2026-03-31 00:00:00,100.0,135.0,5362,0
107,SINAL_CONCRETO,"0,01%",2026-04-01 00:00:00,56.21098349330727,2824.0,2192,64
