id_cliente,nome_cliente,METODO_RECURSO,Total Requisições,4xx,2xx,5xx,Score
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,2,0,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,2,0,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,3,0,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,3,0,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,3,0,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,12,0,12,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,3,0,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,2,0,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,3,0,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,0,2,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,3,0,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,2,0,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,2,0,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,0,2,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,0,2,0,
0,,GET / PIX - Gerenciamento de Cobranças,23,23,0,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,2,0,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,0,2,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,2,0,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,2,0,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,1,1,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,0,2,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,4,0,4,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,0,2,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,4,0,4,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,0,2,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,2,0,2,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
0,,GET / PIX - Gerenciamento de Pix recebidos /pix,3,0,3,0,
2,ATLAS_DINAMICO,GET / PIX - Gerenciamento de Cobranças,2802,0,2801,1,
2,ATLAS_DINAMICO,PUT / Pix - QR Code,15058,0,14943,115,
2,ATLAS_DINAMICO,GET / PIX - Gerenciamento de Pix recebidos /pix,247,0,247,0,
3,CICLO_INFERIOR,PATCH / PIX - Gerenciamento de Cobranças,25,0,25,0,
3,CICLO_INFERIOR,GET / PIX - Gerenciamento de Cobranças,60607,22,60544,41,
3,CICLO_INFERIOR,PUT / Pix - QR Code,7859,0,7779,80,
3,CICLO_INFERIOR,PUT / PIX - Gerenciamento de Devoluções,10,0,10,0,
4,CICLO_QUENTE,PUT / Pix - QR Code,27,0,27,0,
5,SYSTEM_ESTAVEL,GET / PIX - Gerenciamento de Cobranças,398,0,398,0,
5,SYSTEM_ESTAVEL,PUT / Pix - QR Code,8,0,4,4,
6,STREAM_SERENO,GET / PIX - Gerenciamento de Cobranças,95,0,95,0,
6,STREAM_SERENO,PUT / PIX - Gerenciamento de Cobranças,21,0,21,0,
7,ECO_INTENSO,PUT / Pix - QR Code,3,0,3,0,
7,ECO_INTENSO,GET / PIX - Gerenciamento de Cobranças,5,0,5,0,
8,NODO_MODERNO,PUT / Pix - QR Code,156,0,156,0,
8,NODO_MODERNO,GET / PIX - Gerenciamento de Cobranças,70,0,70,0,
9,FIBRA_ABSTRATO,PUT / PIX - Gerenciamento de Cobranças,17,0,17,0,
9,FIBRA_ABSTRATO,GET / PIX - Gerenciamento de Pix recebidos /,17083,0,17083,0,
10,STREAM_CLARO,GET / PIX - Gerenciamento de Pix recebidos /,288,281,7,0,
11,BLOCO_REMOTO,GET / PIX - Gerenciamento de Pix recebidos /,3931,782,3089,60,
12,CORRENTE_FIXO,GET / PIX - Gerenciamento de Cobranças,10,10,0,0,
13,ESTRELA_UMIDO,GET / PIX - Gerenciamento de Pix recebidos /pix,10375,4926,5420,29,
14,EIXO_ABSTRATO,PUT / Pix - QR Code,1,0,1,0,
15,TOPO_VERDE,PUT / Pix - QR Code,32,0,32,0,
15,TOPO_VERDE,GET / PIX - Gerenciamento de Pix recebidos /,56,35,21,0,
16,AREIA_MULTIPLO,PUT / Pix - QR Code,3135,269,2846,20,
16,AREIA_MULTIPLO,GET / PIX - Gerenciamento de Cobranças,2638,0,2636,2,
17,CORE_AGIL,GET / PIX - Gerenciamento de Pix recebidos /,4368,3333,1029,6,
17,CORE_AGIL,PUT / PIX - Gerenciamento de Cobranças,273,0,273,0,
17,CORE_AGIL,GET / PIX - Gerenciamento de Cobranças,4,0,4,0,
18,LINHA_NITIDO,PUT / Pix - QR Code,326064,67,323010,2987,0.0251936301490245
18,LINHA_NITIDO,GET / PIX - Gerenciamento de Cobranças,1709017,174,1706776,2067,0.0345300920389112
19,HORIZONTE_FECHADO,PUT / Pix - QR Code,5,0,5,0,
19,HORIZONTE_FECHADO,GET / PIX - Gerenciamento de Cobranças,4,0,4,0,
20,VALE_MOVEL,GET / PIX - Gerenciamento de Pix recebidos /,760,7,753,0,
21,ILHA_AGIL,PUT / PIX - Gerenciamento de Cobranças,3126,0,3096,30,
21,ILHA_AGIL,GET / PIX - Gerenciamento de Cobranças,27263,1,27223,39,
22,ARCO_RARE,PATCH / PIX - Gerenciamento de Cobranças,2,0,2,0,
22,ARCO_RARE,GET / PIX - Gerenciamento de Cobranças,19,0,19,0,
22,ARCO_RARE,PUT / Pix - QR Code,9,0,9,0,
23,NORTE_SERENO,GET / PIX - Gerenciamento de Pix recebidos /pix,456,255,201,0,
24,FAIXA_SUPERIOR,PATCH / PIX - Gerenciamento de Cobranças,1,0,1,0,
24,FAIXA_SUPERIOR,GET / PIX - Gerenciamento de Cobranças,24,0,24,0,
24,FAIXA_SUPERIOR,PUT / Pix - QR Code,14,0,14,0,
25,SOMBRA_VERDE,GET / PIX - Gerenciamento de Pix recebidos /pix,10294,6078,4194,22,
26,BASE_LARGO,GET / PIX - Gerenciamento de Cobranças,5199686,3014,5182598,14074,0.1320462900770144
