id_cliente,nome_cliente,ID API,API,Versão,Último acionamento,Dias inatividade,Situação
1,ARCO_CENTRAL,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
2,ATLAS_DINAMICO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
3,CICLO_INFERIOR,8175497,Pix,v1,2026-03-31 00:00:00,2,Ativo
4,CICLO_QUENTE,8175497,Pix,v1,2026-03-30 00:00:00,3,Ativo
5,SYSTEM_ESTAVEL,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
6,STREAM_SERENO,8175497,Pix,v1,2026-03-28 00:00:00,5,Ativo
7,ECO_INTENSO,8175497,Pix,v1,2026-03-16 00:00:00,17,Ativo
8,NODO_MODERNO,8175497,Pix,v1,2026-03-30 00:00:00,3,Ativo
9,FIBRA_ABSTRATO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
10,STREAM_CLARO,8175497,Pix,v1,2026-03-31 00:00:00,2,Ativo
11,BLOCO_REMOTO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
12,CORRENTE_FIXO,8175497,Pix,v1,2026-03-09 00:00:00,24,Ativo
13,ESTRELA_UMIDO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
14,EIXO_ABSTRATO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
15,TOPO_VERDE,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
16,AREIA_MULTIPLO,8175497,Pix,v1,2026-03-31 00:00:00,2,Ativo
17,CORE_AGIL,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
18,LINHA_NITIDO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
19,HORIZONTE_FECHADO,8175497,Pix,v1,2026-03-16 00:00:00,17,Ativo
20,VALE_MOVEL,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
21,ILHA_AGIL,8175497,Pix,v1,2026-03-30 00:00:00,3,Ativo
22,ARCO_RARE,8175497,Pix,v1,2026-03-30 00:00:00,3,Ativo
23,NORTE_SERENO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
24,FAIXA_SUPERIOR,8175497,Pix,v1,2026-03-17 00:00:00,16,Ativo
25,SOMBRA_VERDE,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
26,BASE_LARGO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
27,PICO_FLUIDO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
28,TRAMA_VASTO,8175497,Pix,v1,2026-03-04 00:00:00,29,Ativo
29,LINK_DOURADO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
30,GRID_UMIDO,8175497,Pix,v1,2026-03-25 00:00:00,8,Ativo
31,VENTO_MULTIPLO,8175497,Pix,v1,2026-03-31 00:00:00,2,Ativo
32,DELTA_FINO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
33,STREAM_FOSCO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
34,EDGE_NOVO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
35,LINK_PASSIVO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
36,BRISA_GAMA,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
37,VECTOR_DINAMICO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
38,TORRE_LENTO,8175497,Pix,v1,2026-03-13 00:00:00,20,Ativo
39,TOPO_MOVEL,8175497,Pix,v1,2026-03-31 00:00:00,2,Ativo
40,SEMENTE_SUPERIOR,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
41,SOMBRA_PASSIVO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
42,TRAMA_SOLAR,8175497,Pix,v1,2026-03-27 00:00:00,6,Ativo
43,ORIGEM_SECO,8175497,Pix,v1,2026-04-01 00:00:00,1,Ativo
